label,domain,fap_code,salary_net_monthly,employment_count,weighted_score,num_sources,min_source_val,max_source_val,regulations,rationale
Agriculteur céréalier,A,A0Z10,1820,165000,2.71,3,2.0,3.0,,Présence terrain et conduite d'engins limitent l'automatisation. Les outils d'aide à la décision progressent mais restent en appui.
Maraîcher,A,A0Z20,1650,52000,2.0,2,2.0,2.0,,Travail physique saisonnier et grande variabilité des produits limitent l'automatisation.
Éleveur bovin,A,A1Z10,1750,98000,2.33,2,2.0,3.0,,Robots de traite existent mais la gestion du troupeau reste très humaine.
Conseiller bancaire,C,C2Z10,2680,158000,6.89,4,6.0,8.0,RGPD|AMF,Analyse financière et conseil patrimonial très exposés aux LLMs et robo-advisors. La relation de confiance personnelle résiste.
Actuaire,C,C2Z30,4350,6200,8.6,3,8.0,9.0,RGPD|AMF|DORA,Modélisation statistique = cœur automatisable par ML spécialisés. Valeur migre vers l'interprétation et la gouvernance.
Analyste risques,C,C2Z20,3680,22000,7.71,3,7.0,8.0,RGPD|AMF|DORA|NIS2,Analyse documentaire et scoring facilement automatisables. L'expertise de jugement dans les cas complexes résiste.
Agent immobilier,Q,C3Z10,2420,148000,5.14,3,5.0,6.0,RGPD|AMF,Visites virtuelles et scoring automatique progressent ; négociation et réseau local résistent.
Commercial B2B,D,D1Z10,2890,242000,4.57,3,4.0,6.0,RGPD,"Prospection automatisable par IA ; confiance, relation longue durée et négociation complexe résistent."
Gestionnaire de copropriété (syndic),Q,C3Z20,2650,42000,5.0,3,5.0,5.0,RGPD|IA_Act,"La gestion de copropriété est partiellement automatisable (comptabilité, convocations, reporting) mais conserve un fort ancrage relationnel et juridique. L'IA simplifie la gestion courante, pas la résolution des litiges."
Expert immobilier / évaluateur foncier,Q,C3Z30,3200,18000,4.0,3,4.0,4.0,RGPD|AMF,"L'expertise immobilière s'appuie sur un jugement contextuel (localisation fine, état réel, usage futur) irremplaçable par des modèles AVE. L'IA aide à croiser les données mais l'expertise certifiée reste humaine."
Conseiller en gestion de patrimoine (CGP),Q,C3Z40,3400,28000,6.0,3,6.0,6.0,RGPD|AMF|DORA,La gestion de patrimoine combine analyse quantitative (automatisable) et conseil de vie (non automatisable). Les robo-advisors gagnent du terrain sur les produits standardisés. La valeur humaine réside dans la planification successorale et les situations complexes.
Diagnostiqueur immobilier (DPE/amiante),Q,C3Z50,2480,22000,3.29,3,3.0,4.0,RGPD|IA_Act,Le diagnostic immobilier exige une présence physique irremplaçable. L'IA aide au calcul DPE mais ne peut pas inspecter les matériaux sur site. Très forte demande liée à la loi Énergie-Climat (passoires thermiques).
E-commerce manager,D,D1Z20,3150,28000,7.65,4,7.0,8.8,RGPD|DSA|IA_Act,"Catalogue, SEO, personnalisation très automatisables. Stratégie de marque et expérience client résistent."
Vendeur automobile,D,D2Z10,2250,58000,4.0,2,4.0,4.0,,Configurateurs en ligne progressent mais la découverte physique et la négociation restent essentielles.
Journaliste,E,E1Z10,2480,36000,6.49,6,5.4,8.0,RGPD|DSA,"Articles factuels, dépêches et synthèses automatisables. Investigation terrain, récit et fact-checking critique résistent."
Rédacteur web,E,E1Z20,2310,42000,8.58,6,7.0,9.0,RGPD|DSA|IA_Act,Production de contenu générique = exposition maximale aux LLMs. Valeur migre vers la stratégie et la supervision.
Traducteur,E,E1Z30,2250,14000,8.09,5,5.9,9.0,RGPD|IA_Act,Traduction brute quasi-automatisée par NMT. Valeur sur la post-édition culturelle et la localisation experte.
Graphiste,E,E2Z10,2380,48000,6.57,5,4.9,9.0,RGPD|IA_Act|DSA,"Génération d'images automatisée ; direction artistique, identité de marque et jugement esthétique résistent."
Photographe de presse,O,E1Z40,2100,8000,5.48,5,5.0,6.0,RGPD|DSA,"L'IA génère des images convaincantes mais le reportage de terrain, l'accès aux zones sensibles, l'authenticité documentaire et la valeur légale de la photo de presse restent irremplaçables. ~8 000 photographes avec carte de presse (CCIJP 2024 · ~12% des 34 948 journalistes actifs)."
Attaché de presse-RP,E,E5Z10,2800,25000,6.2,4,6.0,7.0,RGPD|DSA,"Rédaction de communiqués, revues de presse et reprises médias : automatisables à 70%. La relation de confiance avec les journalistes, la gestion de crise et la stratégie d'influence restent irremplaçables. ~25 000 attachés de presse (INSEE EEC 2024)."
Présentateur-animateur TV-radio,O,E6Z10,3200,12000,3.2,4,3.0,4.0,RGPD|DSA,"Présence à l'antenne, charisme, improvisation face aux imprévus et lien émotionnel avec l'audience restent profondément humains. Les avatars IA existent (présentateurs virtuels en Asie) mais n'ont pas pénétré le marché français. ~12 000 présentateurs et animateurs (Audiens/EEC 2024)."
Scénariste-auteur,O,E7Z10,2500,8000,5.96,5,5.0,7.0,RGPD|DSA|IA_Act,"La génération de trames et de dialogues génériques est très automatisable. L'écriture singulière, l'univers propre, la profondeur psychologique des personnages et la négociation éditoriale résistent. ~8 000 auteurs dramatiques (SACD/SCAM 2024). La grève WGA 2023 a cristallisé les enjeux."
Maçon,F,F0Z10,1980,128000,1.14,3,1.0,2.0,,Travail physique en milieu non structuré · très difficile à automatiser. Contexte variable de chaque chantier.
Électricien bâtiment,F,F0Z20,2080,112000,2.0,3,2.0,2.0,,Intervention physique et diagnostic terrain restent manuels. Pénurie de compétences persistante.
Conducteur de travaux,F,F0Z30,3280,52000,4.43,3,4.0,5.0,,Coordination multi-acteurs et gestion des aléas de chantier freinent l'automatisation. Responsabilité juridique maintient l'humain.
Architecte,F,F0Z40,3450,38000,5.82,4,5.0,6.0,,Conception créative et responsabilité réglementaire résistent ; rendus et variations s'automatisent rapidement.
Cuisinier,G,G0Z10,1780,218000,2.0,3,2.0,2.0,,"Dextérité, créativité culinaire et adaptation en temps réel · automatisation anecdotique hors fast-food."
Réceptionniste hôtel,G,G0Z20,1840,62000,3.57,3,3.0,5.0,,Check-in digitaux progressent ; relation et service personnalisés haut-de-gamme restent humains.
Ingénieur process,H,H2Z10,3580,48000,6.75,3,6.0,7.0,,Optimisation de process très exposée aux jumeaux numériques et IA prédictive. Conception système et validation restent humaines.
Soudeur,H,H2Z20,2180,82000,2.33,2,2.0,3.0,,Cobots progressent sur les soudures répétitives ; contextes variables et positions complexes restent manuels.
Technicien maintenance,I,I1Z10,2180,92000,3.0,3,3.0,3.0,RGPD|NIS2,Diagnostic et intervention physique restent manuels. La maintenance prédictive assiste sans remplacer.
Automaticien,I,I1Z20,2850,38000,5.4,3,5.0,6.0,RGPD|NIS2|IA_Act,Programmation d'automates partiellement assistée par IA ; intégration terrain et validation système résistent.
Médecin généraliste,J,J3Z40,5340,96000,4.39,6,2.9,5.2,RGPD|CSP|IA_Act,"Diagnostic augmenté par IA, mais relation thérapeutique, gestion de l'incertitude et empathie restent irremplaçables."
Infirmier,J,J4Z30,2340,580000,2.82,4,2.5,3.0,RGPD|CSP,"Soins directs, gestes techniques, soutien psychologique · IA assiste l'administratif sans remplacer le soin."
Radiologue,J,J3Z20,6650,13500,7.55,5,7.0,8.0,RGPD|CSP|IA_Act,IA de détection d'anomalies très avancée (AUC > 0.95 sur dépistage). Interprétation finale et actes interventionnels restent médicaux.
Aide-soignant,J,J4Z10,1890,355000,2.0,3,2.0,2.0,RGPD|CSP,"Soin direct, nursing et relationnel humain · non substituable par aucun modèle actuel."
Pharmacien,J,J1Z10,3850,74000,4.84,4,3.3,6.0,RGPD|CSP,"Dispensation automatisée progresse ; conseil patient, pharmacovigilance et gestion clinique résistent."
Aide à domicile,K,K2Z10,1580,695000,1.14,3,1.0,2.0,,"Présence physique, empathie et adaptation permanente · non-automatisable avec les technologies actuelles."
Éducateur spécialisé,K,K1Z10,2050,105000,3.0,2,3.0,3.0,RGPD,"Relation éducative, accompagnement individualisé et médiation résistent à l'automatisation."
Policier,P,K4Z10,2250,155000,3.57,3,3.0,4.0,RGPD|LOPJ|IA_Act,"Intervention terrain, médiation, décision en urgence · IA assiste sans remplacer l'officier."
